chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1538184200,2018-09-29T01:23:20Z,N3DAB-1,N3DAB-1,118(21/20),0,!,N3DAB-1,I&,34.484167,-84.347667,,,,,,,>40 APRSmax,,,Bent Tree iGate
0,1538184204,2018-09-29T01:23:24Z,KK4EHJ-12,KK4EHJ-12,74(11/20),0,`,KK4EHJ-12,/>,34.536527,-83.917758,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=242, A1=422, A2=632",
0,1538184206,2018-09-29T01:23:26Z,KK4EHJ-12,KK4EHJ-6,11(9/8),0,`,KK4EHJ-12,/>,34.536527,-83.917758,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=242, A1=422, A2=632",
0,1538184207,2018-09-29T01:23:27Z,KK4EHJ-12,N3DAB-1,56(20/18),0,`,KK4EHJ-12,/>,34.536527,-83.917758,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=242, A1=422, A2=632",
0,1538184245,2018-09-29T01:24:05Z,KD4CVR-10,N3DAB-1,63(22/18),0,!,KD4CVR-10,/b,34.554500,-84.001500,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,The Six Gap Century Bike Race - Sept 30th
0,1538184316,2018-09-29T01:25:16Z,K4MFC-2,N3DAB-1,62(21/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538184324,2018-09-29T01:25:24Z,KK4EHJ-12,KK4EHJ-12,71(11/20),0,`,KK4EHJ-12,/>,34.536526,-83.917766,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=243, A1=422, A2=632",
0,1538184326,2018-09-29T01:25:26Z,KK4EHJ-12,KK4EHJ-6,12(10/9),0,`,KK4EHJ-12,/>,34.536526,-83.917766,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=243, A1=422, A2=632",
0,1538184331,2018-09-29T01:25:31Z,WX4BK-13,N3DAB-1,64(23/18),0,!,WX4BK-13,I#,33.794333,-84.994333,,,,,,,"DireWolf, WB2OSZ",,,WX4BK IG/Digi/WX
0,1538184333,2018-09-29T01:25:33Z,WX4BK-13,KK4EHJ-6,12(10/8),0,!,WX4BK-13,I#,33.794333,-84.994333,,,,,,,"DireWolf, WB2OSZ",,,WX4BK IG/Digi/WX
0,1538184347,2018-09-29T01:25:47Z,WX4BK-13,N3DAB-1,62(22/19),0,},WX4BK-13,/R,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1538184444,2018-09-29T01:27:24Z,KK4EHJ-12,KK4EHJ-12,75(13/20),0,`,KK4EHJ-12,/>,34.536526,-83.917769,0.0,189.0,441.0,,,,Byonics TinyTrack3,In Service,"Seq=244, A1=421, A2=631",
